Repositories,Stars Count,Forks Count,Issues Count,Pull Requests,Contributors,Language,Language Frequency,Frequency Category
JDevlieghere/InTeXration,18,4,1,0,0,Python,155,Very Popular
JDevlieghere/InTeXration,18,4,1,0,0,Python,155,Very Popular
ArefMq/action-recognition-via-snn,16,4,1,0,0,Python,155,Very Popular
Anuj-Kumar-Sharma/GitLearningRepo,10,4,1,0,0,Python,155,Very Popular
garimasingh128/Draw,1,4,5,0,4,HTML,72,Average Popularity
Tyriar/abbr-touch,51,4,3,0,2,HTML,72,Average Popularity
cheeaun/3d-touch-canvas,59,4,1,0,2,HTML,72,Average Popularity
vivekweb2013/audio-recorder,22,4,2,0,4,Java,44,Average Popularity
Clueless-Community/clueless-official-website,5,4,8,0,7,TypeScript,37,Average Popularity
nerdynikhil/bloggy,2,4,8,0,3,Dart,36,Average Popularity
Shreeshrii/tessdata_ssd,24,4,2,0,0,Shell,25,Average Popularity
aviaryan/clipjump-addons,9,4,2,0,2,AutoHotkey,3,Unpopular
openfoodfacts/off-category-classification,4,3,16,21,6,Jupyter Notebook,29,Average Popularity
ljharb/can-merge,14,3,11,3,12,JavaScript,253,Very Popular
rupa/cuecat,25,3,1,2,2,JavaScript,253,Very Popular
simonw/asgi-cors,15,3,2,2,0,Python,155,Very Popular
gabrielfalcao/couleur,41,3,2,1,2,Python,155,Very Popular
Tyriar/atom-navigation-history,2,3,13,1,0,CoffeeScript,3,Unpopular
Clueless-Community/Datasets,4,3,4,0,5,JavaScript,253,Very Popular
nerdynikhil/codestreak,4,3,3,0,3,JavaScript,253,Very Popular
defuse/elfplayer,10,3,5,0,0,JavaScript,253,Very Popular
bradtraversy/bootsassy,6,3,1,0,0,JavaScript,253,Very Popular
ljharb/call-bind,5,3,1,0,0,JavaScript,253,Very Popular
ritwickdey/expensify-app,4,3,1,0,0,JavaScript,253,Very Popular
ritwickdey/expensify-app,4,3,1,0,0,JavaScript,253,Very Popular
MariaEduardaDeAzevedo/jogo-da-velha,7,3,3,0,2,Python,155,Very Popular
kdeldycke/mdx_titlecase,1,3,2,0,2,Python,155,Very Popular
thrau/pymq,21,3,5,0,0,Python,155,Very Popular
ayan2809/Go-Back-N-ARQ-,5,3,1,0,0,Python,155,Very Popular
benawad/astralfans-landing,98,3,11,0,0,HTML,72,Average Popularity
nikita9604/Blogging-Website-using-Flask,2,3,1,0,0,HTML,72,Average Popularity
ducc/DubTrack4J,1,3,2,0,3,Java,44,Average Popularity
Priyansh19077/ColorSwtichClone,5,3,1,0,2,Java,44,Average Popularity
google/accname,14,3,9,0,6,TypeScript,37,Average Popularity
zemse/contract-ownership-governance,1,3,2,0,0,TypeScript,37,Average Popularity
sambitraze/cpp,0,3,2,0,3,C++,29,Average Popularity
nikhilkumarsingh/awesome-wikidata-scripts,6,3,4,0,2,Jupyter Notebook,29,Average Popularity
jishanshaikh4/CSE-217-Data-Structures-Laboratory,23,3,1,0,2,C++,29,Average Popularity
curiousily/dissertation,4,3,1,0,2,Jupyter Notebook,29,Average Popularity
ArefMq/SPLCommunicationTester,2,3,1,0,0,C++,29,Average Popularity
trailofbits/censys-ruby,9,3,5,0,3,Ruby,28,Average Popularity
emersonsoares/CakePHP-Dinamic-Select-Box,5,3,1,0,0,PHP,16,Unpopular
ducc/DiscrimFarmer,13,3,4,0,0,Go,15,Unpopular
shreyassai123/NFT-Wallet,26,3,1,0,0,Swift,10,Unpopular
devongovett/bmp.js,14,3,1,0,0,CoffeeScript,3,Unpopular
gamemann/All_PropHealth,4,3,1,0,0,SourcePawn,1,Unpopular
SauravMukherjee44/Aec-Library-Website,5,2,81,29,184,HTML,72,Average Popularity
dwij2812/FlightBooking-system,6,2,6,21,2,CSS,37,Average Popularity
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja,5,Unpopular
kameshsampath/ansible-role-kind,1,2,3,14,2,Jinja,5,Unpopular
openfoodfacts/community-portal,3,2,10,12,6,Python,155,Very Popular
savannahar68/ClipboardHistory,4,2,2,9,2,JavaScript,253,Very Popular
kdeldycke/click-extra,9,2,6,4,5,Python,155,Very Popular
openfoodfacts/facets-knowledge-panels,1,2,5,4,5,Python,155,Very Popular
droy312/droy-hacktoberfest2020,1,2,1,2,2,C++,29,Average Popularity
jakearchibald/accept-encoding-range-test,2,2,1,1,0,JavaScript,253,Very Popular
yashrajkakkad/AUtomate,5,2,1,1,3,Python,155,Very Popular
EddieHubCommunity/infrastructure,17,2,11,1,2,TypeScript,37,Average Popularity
KrauseFx/doesitrain.today,5,2,1,1,0,Ruby,28,Average Popularity
KrauseFx/doesitrain.today,5,2,1,1,0,Ruby,28,Average Popularity
iamakshat01/e-gurukul,0,2,1,0,3,JavaScript,253,Very Popular
jamesbachini/Encryption-VScode,3,2,4,0,2,JavaScript,253,Very Popular
EddieHubCommunity/LiveStream-GitOps-Demo,9,2,1,0,2,JavaScript,253,Very Popular
jamesbachini/satoshisearch,0,2,1,0,2,JavaScript,253,Very Popular
PawanKolhe/amizone-fetch-api,4,2,2,0,0,JavaScript,253,Very Popular
ihcsim/customer-invoice-management,2,2,2,0,0,JavaScript,253,Very Popular
ljharb/big-integer-min,2,2,1,0,0,JavaScript,253,Very Popular
