repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
antonmedv/kot,7,0,1,0,0,JavaScript,253
asweigart/asciiartjsondb,7,0,1,0,0,Python,155
kerrishotts/cordova-template-webpack-babel-scss,6,0,1,0,0,JavaScript,253
vicky002/CodeChef-API,6,0,1,0,0,Python,155
simonw/asgi-log-to-sqlite,6,0,1,0,0,Python,155
shreyashankar/datatracker,5,0,1,0,0,Python,155
mscoutermarsh/AddEvent-Ruby,5,0,1,0,0,Ruby,28
cblecker/cluster-api-provider-jira,5,0,1,0,0,Go,15
AnkushMalaker/pretrained-dcnn-attention-ser,4,0,1,0,0,Python,155
oliveeyay/EtherTracker,4,0,1,0,0,Kotlin,7
IonicaBizau/asciify-pixel,3,0,1,0,0,JavaScript,253
MariaEduardaDeAzevedo/celare,3,0,1,0,0,Python,155
lmgonzalves/lmgonzalves.github.io,3,0,1,0,0,CSS,37
studiomohawk/FiveCast,3,0,1,0,0,Shell,25
unnat404/eCommerce,2,0,1,0,0,JavaScript,253
MariaEduardaDeAzevedo/header,2,0,1,0,0,Python,155
Ipseeta/CRUD-SpringMVC-Mongo-API,2,0,1,0,0,HTML,72
ali123321123/Kids-Math-App,2,0,1,0,0,Java,44
RonLek/Alive,2,0,1,0,0,C++,29
localstack/localstack-packaged-cli,2,0,1,0,0,Makefile,6
carloscuesta/n26-github-actions-demo,1,0,1,0,0,JavaScript,253
carloscuesta/n26-github-actions-demo,1,0,1,0,0,JavaScript,253
kaushik-rishi/procmon,1,0,1,0,0,JavaScript,253
curiousily/burglar-alarm-system-with-tensorflow-js-and-react,1,0,1,0,0,JavaScript,253
RonLek/C-AWARE,1,0,1,0,0,Python,155
brettkromkamp/knowledge-graph-experiments,1,0,1,0,0,Python,155
andreyscott/banner,1,0,1,0,0,HTML,72
lengstrom/blog,1,0,1,0,0,HTML,72
lengstrom/blog,1,0,1,0,0,HTML,72
yessine-agrebi/Interactive-pricing-compnent,1,0,1,0,0,CSS,37
meenal21/meenal-jain,1,0,1,0,0,CSS,37
Shreeshrii/tess5training-rajarajan,1,0,1,0,0,Shell,25
aldriguz/dotnet-training,1,0,1,0,0,C#,8
aldriguz/SampleMVC,1,0,1,0,0,C#,8
eddiejaoude/BattleSnake,1,0,1,0,0,Gherkin,1
MrTwinkleSharma/eCommerce,0,0,1,0,0,JavaScript,253
beatak/each_html_char-js,0,0,1,0,0,JavaScript,253
ducc/a2-coursework,0,0,1,0,0,JavaScript,253
savannahar68/Firefox-Assistant-Anna-,0,0,1,0,0,JavaScript,253
jhonsnow456/Blog-App,0,0,1,0,0,JavaScript,253
